sentiment,text
negative,earnest but heavy-handed .
negative,"falsehoods pile up , undermining the movie's reality and stifling its creator's comic voice ."
negative,"if this disposable tissue has one wild card , it's john turturro , who's simply fab as a spanish butler with a foot fetish ."
positive,"piercingly affecting . . . while clearly a manipulative film , emerges as powerful rather than cloying ."
negative,"so stupid , so ill-conceived , so badly drawn , it created whole new levels of ugly ."
positive,"a meatier deeper beginning and/or ending would have easily tipped this film into the "" a "" range , as is , it's a very very strong "" b+ . "" i love the robust middle of this picture ."
negative,there is not an ounce of honesty in the entire production .
negative,"i was feeling this movie until it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism ."
positive,a budget affair that exposes the generally sad existence of the bedouins while providing a precious twinkle of insight into their lives .
negative,a handsome but unfulfilling suspense drama more suited to a quiet evening on pbs than a night out at an amc .
negative,late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u . s . viewers off their feet .
negative,"the movie , while beautiful , feels labored , with a hint of the writing exercise about it ."
negative,"the heedless impetuousness of youth is on full , irritating display in [this] meandering and pointless french coming-of-age import from writer-director anne-sophie birot ."
negative,"skins has a right to yawp , and we have a right to our grains of salt ."
positive,"preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment ."
positive,"this nickleby thing might have more homosexual undertones than an eddie murphy film . and just when you think it can't get any more gay , in pops nathan lane ."
positive,"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination ."
positive,"narc may not get an 'a' for originality , but it wears its b-movie heritage like a badge of honor ."
negative,the cumulative effect of the movie is repulsive and depressing .
negative,yet another weepy southern bore-athon .
negative,another rent installment for the ian fleming estate .
negative,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening ."
positive,"though lan yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude ."
positive,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke .
positive,"although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious ."
positive,"as comedic spotlights go , notorious c . h . o . hits all the verbal marks it should ."
negative,doesn't really add up to much .
positive,has it ever been possible to say that williams has truly inhabited a character ? it is now .
negative,a little weak -- and it isn't that funny .
